"id","participant_id","timesent_utc","name","gender","handedness","time_gameplayed_utc","details","Late Response","Response Window","Correct Button","Response Time","Inter Time Interval"
"53e129b2b6145e3f4d0923a4","BLUE-00051","2014-08-05T15:00:00-0400",,"FEMALE","LEFT","2014-08-05T14:57:12-0400","Left","1","500","0","N/A","540"
"53e129b2b6145e3f4d0923a4","BLUE-00051","2014-08-05T15:00:00-0400",,"FEMALE","LEFT","2014-08-05T14:57:12-0400","Left","0","540","0","540","540"
"53e129b2b6145e3f4d0923a4","BLUE-00051","2014-08-05T15:00:00-0400",,"FEMALE","LEFT","2014-08-05T14:57:12-0400","Left","0","580","1","425.3559708595276","580"
"53e129b2b6145e3f4d0923a4","BLUE-00051","2014-08-05T15:00:00-0400",,"FEMALE","LEFT","2014-08-05T14:57:12-0400","Left","0","570","1","440.45400619506836","580"
"53e129b2b6145e3f4d0923a4","BLUE-00051","2014-08-05T15:00:00-0400",,"FEMALE","LEFT","2014-08-05T14:57:12-0400","Left","0","560","1","540.9169793128967","580"
"53e129b2b6145e3f4d0923a4","BLUE-00051","2014-08-05T15:00:00-0400",,"FEMALE","LEFT","2014-08-05T14:57:12-0400","Left","0","540","1","423.68799448013306","580"
"53e129b2b6145e3f4d0923a4","BLUE-00051","2014-08-05T15:00:00-0400",,"FEMALE","LEFT","2014-08-05T14:57:12-0400","Left","0","500","1","473.30302000045776","580"
"53e129b2b6145e3f4d0923a4","BLUE-00051","2014-08-05T15:00:00-0400",,"FEMALE","LEFT","2014-08-05T14:57:12-0400","Left","0","420","1","390.92302322387695","580"
"53e129b2b6145e3f4d0923a4","BLUE-00051","2014-08-05T15:00:00-0400",,"FEMALE","LEFT","2014-08-05T14:57:12-0400","Left","1","260","0","N/A","580"
"53e129b2b6145e3f4d0923a4","BLUE-00051","2014-08-05T15:00:00-0400",,"FEMALE","LEFT","2014-08-05T14:57:12-0400","Left","1","300","0","N/A","580"
"53e129b2b6145e3f4d0923a4","BLUE-00051","2014-08-05T15:00:00-0400",,"FEMALE","LEFT","2014-08-05T14:57:12-0400","Right","0","500","1","497.9169964790344","500"
"53e129b2b6145e3f4d0923a4","BLUE-00051","2014-08-05T15:00:00-0400",,"FEMALE","LEFT","2014-08-05T14:57:12-0400","Right","0","490","1","438.8120174407959","500"
"53e129b2b6145e3f4d0923a4","BLUE-00051","2014-08-05T15:00:00-0400",,"FEMALE","LEFT","2014-08-05T14:57:12-0400","Right","0","480","1","405.0689935684204","500"
"53e129b2b6145e3f4d0923a4","BLUE-00051","2014-08-05T15:00:00-0400",,"FEMALE","LEFT","2014-08-05T14:57:12-0400","Right","0","460","1","372.7090358734131","500"
"53e129b2b6145e3f4d0923a4","BLUE-00051","2014-08-05T15:00:00-0400",,"FEMALE","LEFT","2014-08-05T14:57:12-0400","Right","1","420","0","N/A","500"
"53e129b2b6145e3f4d0923a4","BLUE-00051","2014-08-05T15:00:00-0400",,"FEMALE","LEFT","2014-08-05T14:57:12-0400","Right","0","460","1","455.1060199737549","500"
"53e129b2b6145e3f4d0923a4","BLUE-00051","2014-08-05T15:00:00-0400",,"FEMALE","LEFT","2014-08-05T14:57:12-0400","Right","1","450","0","N/A","500"
"53e129b2b6145e3f4d0923a4","BLUE-00051","2014-08-05T15:00:00-0400",,"FEMALE","LEFT","2014-08-05T14:57:12-0400","Right","0","490","1","473.15096855163574","500"
"53e129b2b6145e3f4d0923a4","BLUE-00051","2014-08-05T15:00:00-0400",,"FEMALE","LEFT","2014-08-05T14:57:12-0400","Right","0","480","1","402.538001537323","500"
"53e129b2b6145e3f4d0923a4","BLUE-00051","2014-08-05T15:00:00-0400",,"FEMALE","LEFT","2014-08-05T14:57:12-0400","Right","1","470","0","N/A","500"
"53e129b2b6145e3f4d0923a4","BLUE-00051","2014-08-05T15:00:00-0400",,"FEMALE","LEFT","2014-08-05T14:57:12-0400","Right","0","510","0","510","510"
"53e129b2b6145e3f4d0923a4","BLUE-00051","2014-08-05T15:00:00-0400",,"FEMALE","LEFT","2014-08-05T14:57:12-0400","Right","0","550","0","550","550"
"53e129b2b6145e3f4d0923a4","BLUE-00051","2014-08-05T15:00:00-0400",,"FEMALE","LEFT","2014-08-05T14:57:12-0400","Right","0","630","1","554.6939969062805","630"
"53e129b2b6145e3f4d0923a4","BLUE-00051","2014-08-05T15:00:00-0400",,"FEMALE","LEFT","2014-08-05T14:57:12-0400","Right","0","620","1","452.8360366821289","630"
"53e129b2b6145e3f4d0923a4","BLUE-00051","2014-08-05T15:00:00-0400",,"FEMALE","LEFT","2014-08-05T14:57:12-0400","Right","0","610","1","437.58898973464966","630"
"53e129b2b6145e3f4d0923a4","BLUE-00051","2014-08-05T15:00:00-0400",,"FEMALE","LEFT","2014-08-05T14:57:12-0400","Right","0","590","1","452.7629613876343","630"
"53e129b2b6145e3f4d0923a4","BLUE-00051","2014-08-05T15:00:00-0400",,"FEMALE","LEFT","2014-08-05T14:57:12-0400","Right","0","550","1","419.4990396499634","630"
