"id","participant_id","timesent_utc","name","gender","handedness","time_gameplayed_utc","details","Position Is Top","Response Window","Correct Button","Response Time"
"53e18996b6145e6e410923a2","BLUE-00051","2014-08-05T21:49:09-0400",,"FEMALE","LEFT","2014-08-05T21:44:45-0400","Impulsive",,"0","870","0","N/A"
"53e18996b6145e6e410923a2","BLUE-00051","2014-08-05T21:49:09-0400",,"FEMALE","LEFT","2014-08-05T21:44:45-0400","Impulsive",,"1","870","0","N/A"
"53e18996b6145e6e410923a2","BLUE-00051","2014-08-05T21:49:09-0400",,"FEMALE","LEFT","2014-08-05T21:44:45-0400","Impulsive",,"1","910","1","742.3320412635803"
"53e18996b6145e6e410923a2","BLUE-00051","2014-08-05T21:49:09-0400",,"FEMALE","LEFT","2014-08-05T21:44:45-0400","Sustained",,"1","600","0","N/A"
"53e18996b6145e6e410923a2","BLUE-00051","2014-08-05T21:49:09-0400",,"FEMALE","LEFT","2014-08-05T21:44:45-0400","Sustained",,"1","640","0","N/A"
"53e18996b6145e6e410923a2","BLUE-00051","2014-08-05T21:49:09-0400",,"FEMALE","LEFT","2014-08-05T21:44:45-0400","Sustained",,"0","680","0","N/A"
"53e18996b6145e6e410923a2","BLUE-00051","2014-08-05T21:49:09-0400",,"FEMALE","LEFT","2014-08-05T21:44:45-0400","Sustained",,"1","680","0","N/A"
"53e18996b6145e6e410923a2","BLUE-00051","2014-08-05T21:49:09-0400",,"FEMALE","LEFT","2014-08-05T21:44:45-0400","Sustained",,"0","720","0","N/A"
"53e18996b6145e6e410923a2","BLUE-00051","2014-08-05T21:49:09-0400",,"FEMALE","LEFT","2014-08-05T21:44:45-0400","Sustained",,"0","720","0","N/A"
"53e18996b6145e6e410923a2","BLUE-00051","2014-08-05T21:49:09-0400",,"FEMALE","LEFT","2014-08-05T21:44:45-0400","Sustained",,"1","720","0","N/A"
"53e18996b6145e6e410923a2","BLUE-00051","2014-08-05T21:49:09-0400",,"FEMALE","LEFT","2014-08-05T21:44:45-0400","Sustained",,"0","760","0","N/A"
"53e18996b6145e6e410923a2","BLUE-00051","2014-08-05T21:49:09-0400",,"FEMALE","LEFT","2014-08-05T21:44:45-0400","Sustained",,"1","760","0","N/A"
"53e18996b6145e6e410923a2","BLUE-00051","2014-08-05T21:49:09-0400",,"FEMALE","LEFT","2014-08-05T21:44:45-0400","Sustained",,"1","800","0","N/A"
"53e18996b6145e6e410923a2","BLUE-00051","2014-08-05T21:49:09-0400",,"FEMALE","LEFT","2014-08-05T21:44:45-0400","Sustained",,"0","840","0","N/A"
"53e18996b6145e6e410923a2","BLUE-00051","2014-08-05T21:49:09-0400",,"FEMALE","LEFT","2014-08-05T21:44:45-0400","Sustained",,"1","840","1","647.3830342292786"
"53e18996b6145e6e410923a2","BLUE-00051","2014-08-05T21:49:09-0400",,"FEMALE","LEFT","2014-08-05T21:44:45-0400","Sustained",,"1","830","1","206.97903633117676"
"53e18996b6145e6e410923a2","BLUE-00051","2014-08-05T21:49:09-0400",,"FEMALE","LEFT","2014-08-05T21:44:45-0400","Sustained",,"0","820","0","N/A"
