"id","participant_id","timesent_utc","name","gender","handedness","time_gameplayed_utc","details","Late Response","Correct Selection","Same Face","Response Time","Time Interval"
"53e04adbb6145e674c0923a1","GREEN-00022","2014-08-04T20:09:15-0700",,"FEMALE","RIGHT","2014-08-04T20:02:28-0700","Age Interruption",,"1","0","0","N/A","5000"
"53e04adbb6145e674c0923a1","GREEN-00022","2014-08-04T20:09:15-0700",,"FEMALE","RIGHT","2014-08-04T20:02:28-0700","Age Interruption",,"0","1","0","763.7439966201782","5000"
"53e04adbb6145e674c0923a1","GREEN-00022","2014-08-04T20:09:15-0700",,"FEMALE","RIGHT","2014-08-04T20:02:28-0700","Age Interruption",,"1","0","0","N/A","5000"
"53e04adbb6145e674c0923a1","GREEN-00022","2014-08-04T20:09:15-0700",,"FEMALE","RIGHT","2014-08-04T20:02:28-0700","Age Interruption",,"0","0","0","380.98400831222534","5000"
"53e04adbb6145e674c0923a1","GREEN-00022","2014-08-04T20:09:15-0700",,"FEMALE","RIGHT","2014-08-04T20:02:28-0700","Age Interruption",,"1","0","0","N/A","5000"
"53eaefabb6145e671fef3af9","GREEN-00032","2014-08-12T21:55:06-0700",,"FEMALE","LEFT","2014-08-12T21:48:48-0700","Ignore Distraction",,"1","0","1","N/A","5000"
"53eaefabb6145e671fef3af9","GREEN-00032","2014-08-12T21:55:06-0700",,"FEMALE","LEFT","2014-08-12T21:48:48-0700","Ignore Distraction",,"1","0","0","N/A","5000"
"53eaefabb6145e671fef3af9","GREEN-00032","2014-08-12T21:55:06-0700",,"FEMALE","LEFT","2014-08-12T21:48:48-0700","Ignore Distraction",,"1","0","0","N/A","5000"
"53eaefabb6145e671fef3af9","GREEN-00032","2014-08-12T21:55:06-0700",,"FEMALE","LEFT","2014-08-12T21:48:48-0700","Ignore Distraction",,"0","1","1","840.399980545044","5000"
"53eaefabb6145e671fef3af9","GREEN-00032","2014-08-12T21:55:06-0700",,"FEMALE","LEFT","2014-08-12T21:48:48-0700","Ignore Distraction",,"0","1","1","923.4939813613892","5000"
"53eaefabb6145e671fef3af9","GREEN-00032","2014-08-12T21:55:06-0700",,"FEMALE","LEFT","2014-08-12T21:48:48-0700","Ignore Distraction",,"0","1","0","963.4220004081726","5000"
"53eaefabb6145e671fef3af9","GREEN-00032","2014-08-12T21:55:06-0700",,"FEMALE","LEFT","2014-08-12T21:48:48-0700","Ignore Distraction",,"0","1","1","917.1229600906372","5000"
"53eaefabb6145e671fef3af9","GREEN-00032","2014-08-12T21:55:06-0700",,"FEMALE","LEFT","2014-08-12T21:48:48-0700","Ignore Distraction",,"0","0","0","825.8990049362183","5000"
"53eaefabb6145e671fef3af9","GREEN-00032","2014-08-12T21:55:06-0700",,"FEMALE","LEFT","2014-08-12T21:48:48-0700","Ignore Distraction",,"0","1","1","885.5869770050049","5000"
"53eaefabb6145e671fef3af9","GREEN-00032","2014-08-12T21:55:06-0700",,"FEMALE","LEFT","2014-08-12T21:48:48-0700","Ignore Distraction",,"0","1","1","878.2749772071838","5000"
"53eaefabb6145e671fef3af9","GREEN-00032","2014-08-12T21:55:06-0700",,"FEMALE","LEFT","2014-08-12T21:48:48-0700","Ignore Distraction",,"1","0","0","N/A","5000"
"53eaefabb6145e671fef3af9","GREEN-00032","2014-08-12T21:55:06-0700",,"FEMALE","LEFT","2014-08-12T21:48:48-0700","Ignore Distraction",,"0","1","0","1018.9210176467896","5000"
"53eaefabb6145e671fef3af9","GREEN-00032","2014-08-12T21:55:06-0700",,"FEMALE","LEFT","2014-08-12T21:48:48-0700","Ignore Distraction",,"1","0","1","N/A","5000"
"53eaefabb6145e671fef3af9","GREEN-00032","2014-08-12T21:55:06-0700",,"FEMALE","LEFT","2014-08-12T21:48:48-0700","Ignore Distraction",,"0","1","1","956.8129777908325","5000"
